VALUE,VOLICITY,YEARS
0,0,14
146.81,1,7
0,0,6
0,0,5
0,0,1
0,0,12
0,0,13
0,0,5
0,0,16
44.54,1,6
0,0,7
0,0,9
0,0,16
0,0,7
0,0,7
8.92,0,6
0,0,5
0,0,4
0,0,17
0,0,6
0,0,6
749.36,1,4
0,0,6
2140.98,1,13
0,0,13
26.01,0,6
0,0,16
0,0,4
0,0,7
0,0,6
0,0,14
0,0,26
0,0,6
0,0,13
0,0,11
0,0,7
0,2,13
0,0,14
0,0,7
0,0,4
0,0,6
0,0,14
0,0,26
0,0,4
0,0,11
0,0,7
0,0,7
0,0,13
0,0,17
4.52,0,13
0,0,13
0,0,6
0,0,10
0,0,14
0,0,17
0,0,7
0,0,9
0,0,7
0,0,16
0,0,13
90.46,4,5
0,0,6
0,0,16
0,0,6
0,0,13
0,0,5
0,0,13
0,0,10
0,0,8
18.99,1,4
0,0,14
0,0,13
0,0,13
0,0,14
0,0,17
202.3,22,11
0,0,6
0,0,16
0,0,6
0,0,7
0,0,6
0,0,9
0,0,6
0,0,13
0,0,4
180.02,19,11
0,0,17
0,0,14
0,0,16
18.63,4,3
0,0,7
0,0,11
0,0,7
0,5,6
0,0,6
0,0,4
0,0,6
76.92,6,3
0,0,9
0,0,3
0,0,3
0,0,14
0,0,17
1072.38,13,7
0,0,5
0,0,6
0,0,4
0,0,5
0,0,17
0,1,6
0,0,6
0,0,6
0,0,19
0,0,7
91.71,16,3
0,0,6
0,0,7
0,0,12
0,0,7
0,0,6
70.14,1,6
0,0,13
3340.82,6,5
0,0,7
58.12,1,7
0,0,17
0,0,6
0,0,9
0,0,1
0,0,1
0,0,4
0,0,9
0,0,5
14.48,1,4
0,0,6
19.04,0,14
0,0,6
0,0,6
0,0,6
0,0,7
0,0,6
0,0,1
0,0,14
0,0,3
0,0,6
0,0,6
0,0,6
0,0,9
0,0,13
0,0,6
0,0,18
0,0,8
0,0,14
0,0,13
0,0,13
0,0,7
0,0,6
0,0,8
0,0,13
0,0,14
0,0,4
0,0,17
0,0,11
0,0,17
0,0,16
0,0,7
0,0,6
0,0,8
0,0,8
0,0,14
0,0,26
0,0,6
0,2,6
0,0,5
58.25,1,7
0,0,14
0,0,6
