RR_FLAG,KHLX,KHZT,KHXB,CSRQ,XLBH,KHRQ,KHJB,KZ_KYZJ,KZ_ZQSZ,KZ_JJSZ,KZ_ZZC,KZ_YMZZC,KZ_FPS_KHSZ,KZ_TZZLX,KZ_YXZX,KZ_BNJYL,KZ_BNYJ,KZ_SYJYL,KZ_SYYJ,KZ_ZJJYSJ,KZ_01,KZ_PJZC_KHQ,KZ_YKJE_KHQ,KZ_ZJFL,KZ_ZZL,KZ_KHLY,KZ_KHJZ,KZ_KHHYD,KZ_KHNX,KZ_YJFL,KZ_ZCFL,KZ_YKFL,KZ_TZPHFL,KZ_KHFJ,KZ_KHNXFL,KZ_FXCSNL,KZ_PJZC_2,KZ_ZRZJ_2,KZ_ZCZJ_2,KZ_PJZC_6,KZ_YKJE_6,KZ_PJZC_BN,KZ_PJZC_SN,KZ_MRZQZE_6,KZ_MRQZZE_6,KZ_MRJJZE_6,KZ_YJ_6,KZ_JYL_6,KZ_MRZE_6,KZ_MRGPZE_6,KZ_YKL_6,KZ_SNYJ,KZ_ZRZJ_3,KZ_ZCZJ_3,KZ_ZRGP_3,KZ_ZCGP_3,KZ_QCZC_3,KZ_QMZC_3,KZ_YKL_3,KZ_BYJYL,KZ_BYYJ,KZ_FWFJ,KZ_KHSJLY,KZ_GTKHID,KZ_02,KZ_SJYJL_AG,KZ_PJZC_4,KZ_PJZC_1,KZ_YJ_12,KZ_JYYYKJE,KZ_BYYK,KZ_SYYK,KZ_BYYJ_A,KZ_SYYJ_A,KZ_BNYJ_A,KZ_BYJYL_A,KZ_SYJYL_A,KZ_BNJYL_A,KZ_SNJYL,KZ_DQBH,KZ_KHDJB,KZ_BZYJ,KZ_XEXMH,KZ_SFXXLS,KZ_SFYXLS,KZ_SFZCH,KZ_FWYJ,KZ_FWYJL,KZ_SFYXH,KZ_SFQY,KZ_ZZC_RMB,TRZKZJ,ZC3,JYJE3,YK6
0,1,0,1,38,0,7,23,19549.62,140012,0,159561.62,152893.62,0,0,7010,107268,146.81,11780,16.26,20140313,2,162958,-995.82,12,1,2,1.4729,0,7,1,15,4,1,3,4,1,163906.02,12.63,0,194776.43,-4502.07,162958,0,0,0,0,255.84,186631.5,43823,43823,-0.02,658.24,12.63,0,0,0,0,159561.62,-0.01,0,0,2,0,10500018045,2,1.47,174804.49,160273.96,520.57,-5411.92,6668,-12079.92,0,16.26,146.81,0,11780,107268,438778.72,100,2,0.0016,1,0,0,1,0,0,1,0,299573.62,0,2,0,0
0,1,0,0,49,0,7,23,5458.42,59995.08,37802.89,103256.39,99941.98,0,0,7010,0,0,0,0,20120227,2,102955.96,-2955.05,12,0,2,0.9535,0,8,1,15,5,1,4,4,2,102953.75,4.67,0,105587.09,-6334.96,102955.96,0,0,0,0,0,0,0,0,-0.06,0,342.17,0,0,0,0,103256.39,-0.03,0,0,2,0,10500016349,2,1.501,104062.84,101524.28,0,1169.18,3314.41,-2145.23,0,0,0,0,0,0,113865.05,100,2,0,1,0,0,1,10.65,0,1,1,201054.36,0,2,1,1
0,1,0,0,33,0,6,23,13460.64,102492,0,115952.64,92215.81,6536,0,7010,6536,8.92,0,0,20140409,2,94036.37,-5550.67,12,0,2,1.2018,0,6,1,14,5,1,3,4,0,92834.99,20000.01,0,98856.83,2605.83,94036.37,0,0,0,0,8.92,6536,6536,6536,0.03,15,20000.01,0,0,0,0,115952.64,-0.06,6536,8.92,3,0,10500024544,2,1.479,96902.87,91340.91,8.92,5269.33,3736.83,1532.5,8.92,0,8.92,6536,0,6536,12031.35,100,2,0.0015,1,0,0,1,0,0,1,0,218444.64,0,2,1,1
0,1,0,2,51,4,4,23,1955,891076.88,137810.42,1030842.3,1018811.47,0,0,7010,1023807.24,749.36,290731.24,120.85,20140320,2,1086072.97,113948.84,11,1,2,2.1121,0,4,1,18,5,1,5,3,2,1097831.72,60382.1,210000,1002947.62,-62433.84,1086072.97,0,0,0,0,765.47,1065672.24,507734,507734,-0.06,1852.64,190382.1,210000,0,0,0,1030842.3,0.1,0,0,2,0,10500028812,1,0.5,1036645.72,1053043.75,941.45,-52775.69,12030.83,-64806.52,0,120.85,391.52,0,290731.24,963807.24,2378927.12,100,2,0.001,1,0,0,1,0,0,1,0,2059729.6,1,1,0,0
0,1,0,1,53,0,13,23,612.37,1713720.96,0,1714333.33,1656759.79,0,0,7010,795907,2140.98,7875,21.14,20140310,2,1724888.96,64350.88,11,1,2,0.9614,0,14,2,18,3,1,5,4,2,1742570.92,13532.39,0,1694259.61,30492.77,1724888.96,0,0,0,0,5320.98,1973747.22,1114868.22,1114868.22,0.02,7028.62,18732.39,96089.4,0,0,0,1714333.33,0.04,0,0,2,0,10500011522,2,0,1714275.81,1703570.89,8313.68,-90584.38,57573.54,-148157.92,0,0,0,0,0,0,2538292.94,100,2,0.0028,1,0,0,1,0,0,1,0,3428054.29,0,1,0,0
0,1,0,0,45,0,7,23,0.07,62663,58656.12,121319.19,118138.91,0,0,7010,0,0,0,0,20121022,2,121387.35,-1257,11,0,2,0.8226,0,7,1,15,5,1,4,4,1,122438.71,0,0,123918.96,-3851.9,121387.35,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,121319.19,-0.01,0,0,2,0,10500017599,2,1.464,122337.44,120470.53,58.46,-956.09,3180.28,-4136.37,0,0,0,0,0,0,577.41,100,2,0.0017,1,0,0,1,0,0,1,0,242638.31,0,0,1,0
0,1,0,2,41,6,13,23,452.59,194411.25,0,194863.84,191611.24,0,0,7010,6361.6,4.52,0,0,20140124,2,198465.08,-12311.44,11,0,2,1.3702,0,13,1,15,3,1,4,4,5,195568.51,0.27,0,205478.78,-9162.54,198465.08,0,0,0,0,4.52,6361.6,0,0,-0.04,15.09,0.27,6000,0,0,0,194863.84,-0.06,0,0,2,0,10500012303,2,0.8,202012.14,189638.15,17.92,-102.35,3252.6,-3354.95,0,0,4.52,0,0,6361.6,21388.11,100,2,8.00E-04,1,0,0,1,0,0,1,0,389275.09,0,1,1,0
1,1,0,2,51,3,11,21,174.42,0,1158262.85,1662752.33,1658437.27,0,0,7010,2720237,202.3,374000,10.02,20140331,2,1639873.87,-99843.67,11,22,2,1.3142,0,11,2,18,5,1,5,4,2,1631479.18,4905498.62,3263029.53,1648775.75,-173726.66,1639873.87,0,0,0,0,4159.22,36854121.12,1996534,1996534,-0.11,25688.05,5323985.95,3731081.71,0,0,0,1662752.33,-0.06,0,0,2,0,10500013334,2,2,1638660.45,1615924.95,7625.36,94873.41,4315.06,90558.35,0,0,0,0,0,0,158747003.3,100,2,0,1,0,0,1,8910.73,0,1,1,2821015.18,1,1,0,1
1,1,0,2,61,0,11,21,667.69,120900,0,258604.92,254062.89,137000,0,7010,2812106,180.02,1196865,68.26,20140409,2,245843.53,21250.01,11,19,2,0.5125,0,11,1,16,5,1,6,4,2,253123.44,2008129.66,2024054.57,241817.65,19677.79,245843.53,0,0,0,0,271.07,4491182,87509,87509,0.08,367.78,2622617.42,2651078.94,0,0,0,258604.92,0.09,283950,14.38,3,0,10500013310,2,0.5,243759.3,254473.36,379.59,3935.72,4488.8,-553.08,14.38,68.26,180.02,283950,1196865,2812106,4396897.25,100,2,0.0028,1,0,0,1,0,0,1,0,379504.92,1,1,0,1
0,1,0,0,76,0,11,23,9105.67,790003.92,0,799109.59,781638.83,0,0,7010,0,0,0,0,20130903,2,792505.54,-103805.98,12,0,2,0.8258,0,11,1,17,4,1,7,4,2,800622.07,8140.44,0,791321.24,-116164.78,792505.54,0,0,0,0,0,0,0,0,-0.15,3.88,8140.44,0,111555,0,0,799109.59,-0.13,0,0,2,0,10500013413,2,0,789385.29,794512.51,1.66,-11039.18,17470.76,-28509.94,0,0,0,0,0,0,509944.05,100,2,5.00E-04,1,0,0,1,0,0,1,0,1589113.51,0,2,1,0
